,Data Cloud All Accounts

,BU ,ANZ,,Snapshot
,OU,*,,# of accounts,304
,AOV Band,"01. >25M, 02. 10M-25M, 03. 5M-10M, 04. 1M-5M, 05. 500K-1M, 06. 100K-500K, 10. <1K, 09. 1K-10K, 08. 10K-50K, 07. 50K-100K",,AOV ($),28M
,Success Plan,*,,DS allowance,31B
,CL Influence,*
,FDE Covered,*
,,ACCT_NM,CY_DATACLOUD_AOV,CY_DATACLOUD_ACV,CY_DATACLOUD_OP,CY_DATACLOUD_PG,ORG62_SUPPORT_LEVEL,CL,ALL ENT_END_DT

,Data refreshed as of: 1/12,,,,,,,,,,DATA SERVICE CREDITS
,OU,# of Accounts,DC AOV,DC ACV,DC OP,DC PG,Success Plan,CL,Months to Renew,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,0013000000M2jd2AAB,Wyndham Vacation Resorts Asia Pacific Pty Ltd,0.1M,0.1M,−,0.1M,Premier,,30,,34M,5M,0M,0%,34M,0M,0%,+0M,+621%,0%
,0013000000ZlhO6AAJ,Adbri Limited,0.1M,0.0M,−,0.0M,Basic,,36,,34M,13M,19M,56%,34M,19M,56%,–,–,142%
,0013000000Fd37qAAB,NIB Health Funds Ltd,0.1M,0.0M,−,0.0M,Premier,,24,,34M,14M,0M,1%,33M,0M,0%,+0M,+4044%,2%
,0010M00001QqndUQAR,FP Markets LLC,0.1M,−,−,−,Premier,,11,,30M,20M,−,0%,30M,−,0%,–,-,0%
,0010M00001Qkr96QAB,Booster Financial Services Limited,0.1M,0.1M,−,−,Premier,,15,,21M,7M,−,0%,21M,−,0%,–,-,0%
,0010M00001WIJGPQA5,MY PLAN MANAGER.COM.AU PTY LTD,0.1M,−,−,−,Signature,,30,,30M,14M,0M,0%,30M,0M,0%,+0M,+1%,1%
,0013000000M2j0OAAR,24 CARAT NOMINEES PTY LTD (Shiels Jewellers),0.1M,0.0M,−,0.0M,Premier,,41,,53M,16M,20M,39%,53M,16M,31%,+4M,+26%,125%
,0013y00001h7nZBAAY,The New Zealand Automobile Association - AA 2.0,0.1M,0.0M,−,0.0M,Premier,,33,,32M,2M,−,0%,−,−,-,–,-,0%
,0010M00001V4DZTQA3,Cloudwerx,0.1M,0.0M,−,0.0M,Basic,,2,,12M,9M,0M,0%,12M,0M,0%,+0M,+25%,0%
,0013000001JyL7RAAV,Young Academics,0.1M,0.1M,−,0.1M,Basic,,33,,32M,2M,0M,0%,−,−,-,+0M,-,0%
,0013000000LEXjoAAH,Brother International Australia Pty Ltd,0.1M,−,,−,Basic,,17,,31M,18M,0M,0%,31M,0M,0%,+0M,+2%,0%
,00130000016hJJZAA2,Commonwealth Bank of Australia,0.1M,−,−,0.6M,Signature,,17,,30M,16M,0M,0%,30M,0M,0%,+0M,+12%,0%
,0010M00001WYMBtQAP,Revo Fitness,0.1M,−,,−,Basic,,4,,10M,6M,−,0%,10M,−,0%,–,-,0%
,0013000001KaSYIAA3,Leap Development Pty Ltd,0.0M,−,−,0.3M,Basic,,6,,20M,15M,1M,6%,20M,1M,4%,+0M,+63%,8%
,0013000001CDFlqAAH,Perth Airport Pty Ltd,0.0M,−,−,−,Premier,Elspeth Vu-Doan,18,,146M,70M,1M,0%,146M,0M,0%,+0M,+167%,1%
,0013000000HjOURAA3,William Adams,0.0M,−,−,−,Basic,,17,,30M,15M,−,0%,30M,−,0%,–,-,0%
,0010M00001WaAg0QAF,NCSI (AUSTRALIA) PTY LIMITED,0.0M,−,0.0M,0.1M,Premier,,-,,−,−,−,-,−,−,-,–,-,-
,0013000001GkgIWAAZ,IMDEX Limited,0.0M,0.0M,−,0.0M,Basic,,53,,55M,6M,32M,58%,55M,9M,16%,+23M,+255%,524%
,00130000002Ql4JAAS,Zip Water (Aust) Pty Ltd,0.0M,0.0M,−,-0.0M,Premier,,0,,5M,5M,0M,1%,5M,0M,1%,+0M,+6%,1%
,0013000001FjuDrAAJ,Cricket Victoria,0.0M,−,,−,Premier,,41,,50M,15M,0M,0%,50M,0M,0%,+0M,+17435127%,1%
,0013000000HIhozAAD,CJD Equipment,0.0M,0.0M,−,0.1M,Premier,,45,,45M,11M,0M,0%,45M,0M,0%,+0M,+3%,0%
,0013y00001emVYmAAM,MintBet,0.0M,−,,−,Premier,,9,,14M,10M,0M,1%,14M,0M,1%,+0M,+116%,2%
,00130000002aAAAAA2,JSPM Pty Ltd,0.0M,−,,−,Premier,,5,,21M,16M,7M,35%,21M,6M,28%,+1M,+23%,45%
,0013000000IUPBbAAP,Barbeques Galore Pty Limited,0.0M,−,−,0.1M,Premier,,5,,58M,50M,−,0%,58M,−,0%,–,-,0%
,0013000000RZYVNAA5,Hill-Smith Family Estates,0.0M,0.0M,−,0.0M,Premier,,48,,46M,1M,−,0%,−,−,-,–,-,0%
,0013000001FixZFAAZ,PACIFIC SMILES GROUP LIMITED,0.0M,−,−,−,Premier,,11,,10M,7M,1M,9%,10M,1M,6%,+0M,+63%,14%
,0013000001CCrbUAAT,3P Learning Pty Ltd (Core Org),0.0M,0.0M,−,0.0M,Premier,,10,,11M,1M,0M,0%,−,−,-,+0M,-,0%
,0010M00001WJN3eQAH,Tshirt Services Pty Ltd,0.0M,−,−,−,Premier,,-,,−,−,−,-,−,−,-,–,-,-
