,Agentforce All Accounts

,BU ,LATAM,,Snapshot
,OU,*,,# of accounts,313
,AOV Band,"06. 100K-500K, 05. 500K-1M, 04. 1M-5M, 03. 5M-10M, 02. 10M-25M, 01. >25M, 07. 50K-100K, 08. 10K-50K, 09. 1K-10K, 10. <1K",,AOV ($),27M
,Success Plan,*,,Flex Credits Allowance,"12,276M"
,CL Influence,*,,Conv Allowance,14M
,FDE Covered,*
,,ACCT_NM,CY_AGENTFORCE_AOV,CY_AGENTFORCE_ACV,CY_AGENTFORCE_OP,CY_AGENTFORCE_PG,STAGE_NM,ORG62_SUPPORT_LEVEL,FDE Covered,CL,ALL ENT_END_DT

,Data refreshed as of: 1/12,,,,,,,,,,,,FLEX CREDITS,,,,,,,,,,,CONVERSATIONS
,Account #,Account Name,AF AOV,AF ACV,AF OP,AF PG,Adoption Stage,Success Plan,FDE,CL,Months to Renew,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,0010M00001QqcJvQAJ,Privalia Brasil S.A.,0.1M,0.0M,−,0.0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,,23,,30M,4M,13M,45%,30M,0M,0%,+13M,+22958%,362%,,−,−,−,-,−,−,-,–,-,-
,0010M00001QqcP8QAJ,Informatica De Municipios Associados Sa,0.1M,0.1M,−,0.0M,Agents Created in Prod or Sandbox,Premier,N,,6,,16M,7M,−,0%,16M,−,0%,–,-,0%,,−,−,−,-,−,−,-,–,-,-
,0013000000M2ZhfAAF,Britânia Eletrônicos S.A.,0.1M,0.0M,,0.0M,Purchased SKU,Premier,N,,4,,−,−,−,-,−,−,-,–,-,-,,0M,0M,−,0%,0M,−,0%,–,-,0%
,0010M00001QqcHSQAZ,ITA PECAS PARA VEICULOS COMERCIO E SERVICOS LTDA.,0.1M,0.0M,−,0.1M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Basic,N,,11,,12M,1M,0M,3%,1M,0M,4%,+0M,+808%,49%,,−,−,−,-,−,−,-,–,-,-
,001ed000003RItbAAG,BusCo,0.1M,0.1M,−,0.7M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,Nicolas Gamallo,24,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,3%,0M,−,0%,+0M,-,9%
,0013000001MsHoYAAV,Unimed Nacional,0.1M,0.0M,−,0.0M,Agents Used in Prod,Premier,N,Kamilla Ladeira,9,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,0%,0M,0M,1%,-0M,-57%,1%
,0013000000LZU7QAAX,Almacenes Exito,0.1M,0.1M,0.2M,0.2M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,,14,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,36%,0M,0M,6%,+0M,+508%,51%
,001ed000006IPe3AAG,Nissan Mexicana SA de CV,0.1M,0.1M,0.3M,0.3M,Agents Used in Prod,Premier,N,,5,,22M,12M,0M,0%,22M,0M,0%,+0M,+93%,0%,,−,−,−,-,−,−,-,–,-,-
,0013000000RaYH2AAN,Experiencias Xcaret Parques SAPI de CV,0.1M,0.1M,−,0.0M,Agents Created in Prod or Sandbox,Signature,N,Abel Hernandez,12,,15M,9M,1M,8%,−,−,-,+1M,-,13%,,−,−,−,-,−,−,-,–,-,-
,0013000001GV0chAAD,SEM PARAR INSTITUICAO DE PAGAMENTO LTDA,0.0M,0.0M,0.2M,0.5M,Agents Used in Prod,Premier,N,Nicolas Gamallo,34,,11M,2M,0M,0%,−,−,-,+0M,-,2%,,−,−,−,-,0M,0M,0%,-0M,-100%,-
,0013000001NXdVAAA1,Payway S.A.U.,0.0M,−,0.0M,0.2M,Purchased SKU,Premier,N,,0,,−,−,−,-,−,−,-,–,-,-,,0M,0M,−,0%,0M,−,0%,–,-,0%
,00130000003ZN2QAAW,Experian Colombia SA,0.0M,0.0M,−,0.0M,Purchased SKU,Premier,N,,19,,19M,4M,−,0%,19M,−,0%,–,-,0%,,−,−,−,-,−,−,-,–,-,-
,0010M00001S9H6HQAV,LINX SISTEMAS E CONSULTORIA LTDA,0.0M,0.0M,−,0.2M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,,8,,12M,5M,1M,10%,12M,0M,2%,+1M,+324%,22%,,−,−,−,-,−,−,-,–,-,-
,0013y00001djtT4AAI,Stella Geração Distribuida (Org 2),0.0M,0.0M,−,0.0M,Agents Used in Prod,Basic,N,,11,,9M,3M,0M,1%,9M,0M,0%,+0M,+55%,2%,,−,−,−,-,−,−,-,–,-,-
,0013000001MicDYAAZ,Rede Tauá de Hotéis e Resorts,0.0M,−,,−,Agents Used in Prod,Premier,N,,17,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,0%,0M,0M,0%,+0M,+2%,0%
,0013000001MrnurAAB,Walmart Chile S.A,0.0M,−,−,0.1M,Agents Used in Prod,Premier,N,,-,,−,−,−,-,−,−,-,–,-,-,,0M,−,0M,0%,0M,0M,0%,–,–,-
