customer,acct_id,acct_nm,OU Mapping,Customer Usage Category,tenure_segment,Low Consumption Customer,cust_crr_classification,Data Date,customer_dc_aov,cust_data_cloud_crr,Account Count,Count,Acct_ID_18
ACCELERANT.AI,001ed00000FsO1W,"Accelerant US Services Company , LLC",,Connected (including zero copy),6-9 Months,Low Consumption,Under Consuming,2-Jan,,,1,1,001ed00000FsO1WAAV
ACCELYST,001ed00000iS6pA,Accelyst,,Connected (including zero copy),0-3 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,001ed00000iS6pAAAS
ACCENTURE PUBLIC LIMITED COMPANY,001ed00000DEecP,Accenture Australia Holdings Pty Ltd,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,001ed00000DEecPAAT
ACCENTURE PUBLIC LIMITED COMPANY,001ed00000DEecP,Accenture Australia Holdings Pty Ltd,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,001ed00000DEecPAAT
ACCENTURE PUBLIC LIMITED COMPANY,001ed00000eyeBd,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,001ed00000eyeBdAAI
ACCENTURE PUBLIC LIMITED COMPANY,001ed00000eyeBd,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,001ed00000eyeBdAAI
ACCENTURE PUBLIC LIMITED COMPANY,001ed000005uwcj,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,001ed000005uwcjAAA
ACCENTURE PUBLIC LIMITED COMPANY,001ed000005uwcj,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,001ed000005uwcjAAA
ACCENTURE PUBLIC LIMITED COMPANY,001ed000007WDUR,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,001ed000007WDURAA4
ACCENTURE PUBLIC LIMITED COMPANY,001ed000007WDUR,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,001ed000007WDURAA4
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001crSGp,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001crSGpAAM
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAaz,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAazAAE
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAaz,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAazAAE
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAaz,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAazAAE
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAb4,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAb4AAE
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAb4,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAb4AAE
