ACCT_ID_18,ACCOUNT_ID,ACCOUNT_NAME,IS_PROVISIONED,INTERNALDATAPIPELINE,STREAMINGCI,STREAMINGACTIONS,Activate DMO - Streaming,BATCHCI,BATCHPROFILEUNIFICATION,SUBSECONDREALTIMEEVENTS,INFERENCEENGINE,BATCHINGEST,ACCELERATEDQUERIES,DATAQUERIES,STREAMTRANSFORM,DATASHARESCHANGED,REALTIMEPROFILEAPI,BATCHTRANSFORM,SEGMENTS,DATASHARESACCESSED,STREAMINGEST,BATCHACTIVATIONPROCESSED,PRIVATECONNECTDATAPROCESSED,UNSTRUCTUREDDATAPROCESSED
0013000001Her9kAAB,0013000001Her9k,TeamDynamix,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001Hert4AAB,0013000001Hert4,Ecovacs Robotics Holdings Limited,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HesGvAAJ,0013000001HesGv,Agir A Dom Assistance,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HetSRAAZ,0013000001HetSR,bizKor,Y,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes
0013000001HevgzAAB,0013000001Hevgz,dnp Visiosign,Y,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
0013000001Hf0WjAAJ,0013000001Hf0Wj,NIHON 3D PRINTER K.K.,Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
0013000001Hf0swAAB,0013000001Hf0sw,Morrow Bank AS,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001Hf23dAAB,0013000001Hf23d,Hearth Cabinet Ventless Fireplaces,Y,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No
0013000001Hf3ALAAZ,0013000001Hf3AL,Gualapack SpA,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001Hf3pJAAR,0013000001Hf3pJ,Landmark Space Limited,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001Hf3weAAB,0013000001Hf3we,Bachem AG,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001Hf7vlAAB,0013000001Hf7vl,Lucas Fox,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
0013000001Hf86KAAR,0013000001Hf86K,HCL Technologies Starschema Kft.,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HfIBJAA3,0013000001HfIBJ,Electrocraft Inc.,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes
0013000001HfID0AAN,0013000001HfID0,Ad Victoriam Solutions (Active),Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes
0013000001HfImeAAF,0013000001HfIme,CAPITALAND BUSINESS SERVICES PTE. LTD,Y,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
0013000001HfJH8AAN,0013000001HfJH8,Stratus Hub,Y,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HfKAwAAN,0013000001HfKAw,Avenues: The World School,Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HfN5MAAV,0013000001HfN5M,Center for Innovative Gynecology Care,Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HfNqmAAF,0013000001HfNqm,EPC Power Corp,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HfQ9tAAF,0013000001HfQ9t,Addsecure Group Services AB,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001Hfl35AAB,0013000001Hfl35,Wolfgang Denzel Holding Aktiengesellschaft,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HflJcAAJ,0013000001HflJc,Boston Planning & Development Agency (BPDA),Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HflozAAB,0013000001Hfloz,Guardian - Touchpoint/Reader Revenue,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No
0013000001HfqlGAAR,0013000001HfqlG,BSL INSURANCE CORPORATION.,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HfrjzAAB,0013000001Hfrjz,"Brindlee Mountain Fire Apparatus, LLC",Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HfzjjAAB,0013000001Hfzjj,APL France,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001Hg0ekAAB,0013000001Hg0ek,Steve Rice Law,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001Hg36mAAB,0013000001Hg36m,AS SEB banka Latvia,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
0013000001Hg4kgAAB,0013000001Hg4kg,Andersen & Martini A/S,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
