ACCT_ID_18,CNTRY_COMBO_ID,GLOBAL_CO_COMBO_ID,ACCT_NM,PRODUCT_TYPE,TOTAL_NCR,FY24Q1,FY24Q2,FY24Q3,FY24Q4,FY25Q1,FY25Q2,FY25Q3,FY25Q4,FY26Q1,FY26Q2,FY26Q3,FY26Q4
0013000001L6bKqAAJ,0013000001L6bKqAAJ,aBR3y00000112cDGAQ,Lemonway,Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6bKqAAJ,0013000001L6bKqAAJ,aBR3y00000112cDGAQ,Lemonway,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6bOKAAZ,aBRed000000wfWXGAY,aBRed000000wokUGAQ,Brokers Alliance Inc.,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6bR9AAJ,aBR0M000000LDlzWAG,aBR3y000000x4wgGAA,"AMADA CO.,LTD.",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6bxqAAB,0013000001L6bxqAAB,0013000001L6bxqAAB,Perma-Green Supreme Inc,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6c4pAAB,aBRed000000u9S4GAI,aBRed000000uHkfGAE,Mobility Bathing Group Ltd,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6cQvAAJ,aBR3y0000000BpoGAE,aBR3y000000ybcBGAQ,Britannia Industries Ltd.,DataCloud,69542.97027,0,0,0,0,0,0,33.90065982,41745.52401,15747.42625,8157.375895,1081.877449,2776.866004
0013000001L6coEAAR,0013000001L6coEAAR,0013000001L6coEAAR,Baby and Me Tobacco Free,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6crnAAB,0013000001L6crnAAB,aBR3y00000111YZGAY,Detectify,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6dP3AAJ,aBRed000000FofdGAC,aBRed000000FohFGAS,ICASA,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6dcAAAR,aBR3y0000004nZAGAY,aBR3y00000110GDGAY,"HopSkipDrive, Inc.",Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6dcAAAR,aBR3y0000004nZAGAY,aBR3y00000110GDGAY,"HopSkipDrive, Inc.",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6dozAAB,aBR300000004OHzGAM,aBR3y00000111kaGAA,"Gypsum Management & Supply, Inc.",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6dpJAAR,aBR3y0000004lqoGAA,aBR3y00000112HiGAI,Atelier Roméo,Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6dpJAAR,aBR3y0000004lqoGAA,aBR3y00000112HiGAI,Atelier Roméo,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6dtBAAR,0013000001L6dtBAAR,0013000001L6dtBAAR,"Brilliant Earth, LLC",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6eviAAB,aBR3y000000bsZ2GAI,aBR3y000000yRHFGA2,"StubHub, Inc.",Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6eviAAB,aBR3y000000bsZ2GAI,aBR3y000000yRHFGA2,"StubHub, Inc.",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6fBqAAJ,aBR3y0000000Nk0GAE,aBR3y000000yQo9GAE,La Salle,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6fHjAAJ,aBR300000004PdcGAE,aBR300000008TUyGAM,The University of Massachusetts Office of the President,Agentforce,1019.28,0,0,0,0,0,0,0,0,0,314.34,489.18,215.76
0013000001L6fHjAAJ,aBR300000004PdcGAE,aBR300000008TUyGAM,The University of Massachusetts Office of the President,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6fTeAAJ,aBR0M000000Cd2NWAS,aBR3y00000110B7GAI,Cassa di Risparmio di Asti S.p.A.,DataCloud,34.0817415,0,0,0,0,0,0,0,0,4.129389317,12.09982469,13.6073288,4.245198704
0013000001L6fXgAAJ,aBRed000000B40HGAS,aBRed000000CBSjGAO,Binswanger Glass,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6fzaAAB,aBR300000004RfCGAU,aBR3y000000LF8wGAG,SUL AMÉRICA COMPANHIA DE SEGURO SAÚDE (Health Cloud),DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6gBCAAZ,0013000001L6gBCAAZ,0013000001L6gBCAAZ,ZAO LEASE K.K.,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6gvjAAB,0013000001L6gvjAAB,0013000001L6gvjAAB,LUMIELINA Inc.,DataCloud,140.5072853,0,0,0,0,0,0,0,0,0,0.0869106406,52.77607189,87.64430276
0013000001L6gyEAAR,aBRed00000097rtGAA,aBRed0000008ccnGAA,Reseau Acheteur des Hospitaliers IDF (RESAH),Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6gyEAAR,aBRed00000097rtGAA,aBRed0000008ccnGAA,Reseau Acheteur des Hospitaliers IDF (RESAH),DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6h9DAAR,0013000001L6h9DAAR,0013000001L6h9DAAR,"MacroFab, Inc.",DataCloud,11.51445283,0,0,0,0,0,0,0.0000309094,0.0000002694,3.91206442,2.847085466,3.105742645,1.649529123
0013000001L6hokAAB,aBR3y000000CljYGAS,aBR0M000000Cd6KWAS,SOCIEDAD ESPAÑOLA DE ELECTROMEDICINA Y CALIDAD SA,DataCloud,0.0014485819,0,0,0,0,0,0,0,0,0.0009634125,0.0003601518,0.0000892065,0.0000358111
0013000001L6hqlAAB,0013000001L6hqlAAB,0013000001L6hqlAAB,The Mattress Store,DataCloud,0.0026605038,0,0,0,0,0,0,0,0,0,0,0,0.0026605038
0013000001L6i2DAAR,aBRed000000C6rLGAS,aBR3y000000yD4oGAE,"Cantor Fitzgerald Technology Markets, LLC",Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6i2DAAR,aBRed000000C6rLGAS,aBR3y000000yD4oGAE,"Cantor Fitzgerald Technology Markets, LLC",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
