ACCT_ID_18,ACCT_NM,COMBO_COMPANY_ID_18,CY_AFDC_AOV,CY_DC_AOV,CY_DC_C360_AOV,CY_DC_MKT_AOV,CY_DC_C360_AO_AOV,CY_DC_MKT_AO_AOV,CY_DC_CDP_AOV,Legacy CDP
0010M00001XxwNrQAJ,Insuritas,aBR3y0000004rYBGAY,77100,77100,0,77100,0,0,0,Other
0013000000LiRe0AAF,Allina Health System,aBR300000004FNPGA2,712561.2084,561071.8176,0,0,0,0,561071.8176,Legacy CDP
0013000000RXdhBAAT,S. Spitz GmbH,aBR3y000000HAQSGA4,1094.4048,547.2024,547.2024,0,0,0,0,Other
0013000001LXwQwAAL,The Mediterranean Towers,0013000001LXwQwAAL,9674.5856,1608.2873,1608.2873,0,0,0,0,Other
0013000000M1ZDSAA3,"Florida Health Sciences Center, Inc., d/b/a Tampa General Hospital",aBR3y000000ydsYGAQ,424733.3333,416400,362000,47200,0,7200,0,Other
0010M00001Y5RmPQAV,LOR Foundation Inc,0010M00001Y5RmPQAV,776,776,776,0,0,0,0,Other
0010M00001Yu7zNQAR,HERE Europe B.V.,aBRed0000004UfRGAU,160200,160200,0,0,0,0,0,Legacy CDP
00130000002xb0OAAQ,Children's Hospital Medical Center*,aBR3000000004JCGAY,486607.6591,486607.6591,0,471247.6591,0,15360,0,Other
0013y00001cChQdAAK,Krishna Jewellers Pearls & Gems Pvt Ltd,0013y00001cChQdAAK,1607.2614,1607.2614,0,1607.2614,0,0,0,Other
0013y00001chXXRAA2,Baltacon SIA,0013y00001chXXRAA2,12312.054,12312.054,12312.054,0,0,0,0,Other
0013y00001fEk4UAAS,One New Zealand Group Limited,aBR3000000001unGAA,369426,319926,0,319926,0,0,0,Other
0013000000rqn5TAAQ,"Republic National Distributing Company, LLC",aBR3y000000gEUXGA2,111316.3139,52878.507,52878.507,0,0,0,0,Other
0013000001LV46LAAT,"Faithlife, LLC*",0013000001LV46LAAT,210060,210060,210060,0,0,0,0,Other
0010M00001SJK7UQAX,LY Corporation (CS),aBR3y00000055TWGAY,1478104.469,9408.757,9408.757,0,0,0,0,Other
0010M00001Sq0KGQAZ,"Illumina, Inc. - New Org",aBR300000004DiEGAU,767482.196,644817.396,0,429477.396,0,215340,0,Other
